Year,Deaths,Crashes,Miles traveled (millions),Motor vehicles
2001.00,42196.00,37862.00,2781462.00,57918.00
2002.00,43005.00,38491.00,2855756.00,58426.00
2003.00,42884.00,38477.00,2890893.00,58877.00
2004.00,42836.00,38444.00,2962513.00,58729.00
2005.00,43510.00,39252.00,2989807.00,59495.00
2006.00,42708.00,38648.00,3014116.00,58094.00
2007.00,41259.00,37435.00,3032399.00,56253.00
2008.00,37423.00,34172.00,2973509.00,50660.00
2009.00,33883.00,30862.00,2977591.00,45540.00
2010.00,32999.00,30296.00,2966506.00,44862.00
2011.00,32479.00,29867.00,2946131.00,44119.00
2012.00,33782.00,31006.00,2969433.00,45960.00
2013.00,32894.00,30203.00,2988280.00,45102.00
2014.00,32744.00,30056.00,3025656.00,44950.00
2015.00,35485.00,32539.00,3095373.00,49477.00
2016.00,37806.00,34748.00,3174408.00,52714.00
2017.00,37473.00,34560.00,3212347.00,53128.00
2018.00,36835.00,33919.00,3240327.00,52286.00
2019.00,36096.00,33244.00,3261772.00,51247.00
